-----
{
 "description": "More than 1 Lakh Community Service Centers(CSC) with Broadband Connectivity are envisaged. These are last mile kiosk for providing e-services to citizens. The CSCs have been established in PPP mode where Service Center Agencies(SCA) have been selected to run the kiosk. District Wise CSC Roll out...", 
 "file_name": "District_wise_CSC_rollout_and_connectivity.csv", 
 "title": "District Wise Community Service Centers(CSC) Roll out and Connectivity ", 
 "url": "http://data.gov.in/sites/default/files/District_wise_CSC_rollout_and_connectivity.csv"
}
-----
 State , Service Centre Agency, Divisions / Zones , Name of Districts  , Total CSCs to be set up , Roll Out as on 30th Sept 2012 , CSCs Connected  , BSNL, VSAT, Data Card, Others
Gujarat,EGVGS,Saurastra ,rajkot,843,843,843,0,843,0,0
Gujarat,EGVGS,Central ,sabarkantha,707,707,707,0,707,0,0
Gujarat,EGVGS,South,surat,567,567,567,0,567,0,0
Gujarat,EGVGS,Ahmedabad ,surendrangar,615,615,615,0,615,0,0
Gujarat,EGVGS,South,tapi,282,282,282,0,282,0,0
Gujarat,EGVGS,South,vadodara,861,861,861,0,861,0,0
Gujarat,EGVGS,South,valsad,339,339,339,0,339,0,0
Haryana,SCA Terminated,Ambala,Ambala,1159,0,0,0,0,0,0
Haryana,SCA Terminated,Ambala,Kaithal,0,0,0,0,0,0,0
Haryana,SCA Terminated,Ambala,Kurukshetra,0,0,0,0,0,0,0
Haryana,SCA Terminated,Ambala,Panchkula,0,0,0,0,0,0,0
Haryana,SCA Terminated,Ambala,Yamuna Nagar,0,0,0,0,0,0,0
Haryana,SCA Terminated,Hisar,Bhiwani,0,0,0,0,0,0,0
Haryana,SCA Terminated,Hisar,Fatehabad,0,0,0,0,0,0,0
Haryana,SCA Terminated,Hisar,Hisar,0,0,0,0,0,0,0
Haryana,SCA Terminated,Hisar,Jind,0,0,0,0,0,0,0
Haryana,SCA Terminated,Hisar,Sirsa,0,0,0,0,0,0,0
Haryana,SCA Terminated,Rohtak,Jhajjar,0,0,0,0,0,0,0
Haryana,SCA Terminated,Rohtak,Karnal,0,0,0,0,0,0,0
Haryana,SCA Terminated,Rohtak,Panipat,0,0,0,0,0,0,0
Haryana,SCA Terminated,Rohtak,Rohtak,0,0,0,0,0,0,0
Haryana,SCA Terminated,Rohtak,Sonipat,0,0,0,0,0,0,0
Haryana,SCA Terminated,Gurgaon,Faridabad,0,0,0,0,0,0,0
Haryana,SCA Terminated,Gurgaon,Gurgaon,0,0,0,0,0,0,0
Haryana,SCA Terminated,Gurgaon,Mahendargarh,0,0,0,0,0,0,0
Haryana,SCA Terminated,Gurgaon,Mewat,0,0,0,0,0,0,0
Haryana,SCA Terminated,Gurgaon,Palwal (Nuh),0,0,0,0,0,0,0
Haryana,SCA Terminated,Gurgaon,Rewari,0,0,0,0,0,0,0
Himachal Pradesh,Zoom Developers,Kangra,Chamba,287,177,156,43,0,113,0
Himachal Pradesh,Zoom Developers,Kangra,Kangra,771,728,551,408,0,107,36
Himachal Pradesh,Zoom Developers,Kangra,Una,238,237,220,115,0,41,64
Himachal Pradesh,GNG / Terasoftware,Mandi,Bilaspur,154,139,102,70,2,25,5
Himachal Pradesh,GNG / Terasoftware,Mandi,Hamirpur,232,211,136,108,0,24,4
Himachal Pradesh,GNG / Terasoftware,Mandi,Kullu,207,195,114,32,0,6,76
Himachal Pradesh,GNG / Terasoftware,Mandi,Lahaul & Spiti,41,12,5,0,5,0,0
Himachal Pradesh,GNG / Terasoftware,Mandi,Mandi,480,410,281,76,7,153,45
Himachal Pradesh,GNG / Terasoftware,Shimla,Kinnaur,70,43,21,4,4,13,0
Himachal Pradesh,GNG / Terasoftware,Shimla,Shimla,397,331,197,117,17,38,25
Himachal Pradesh,GNG / Terasoftware,Shimla,Sirmaur,253,141,102,16,5,70,11
Himachal Pradesh,GNG / Terasoftware,Shimla,Solan,236,179,163,130,5,21,7
Jammu & Kashmir,J & K Bank,Kashmir,Anantnag,96,74,65,0,65,0,0
Jammu & Kashmir,J & K Bank,Kashmir,Badgam,75,49,31,0,31,0,0
