-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on juveniles delinquency under Indian Penal Code (IPC).", 
 "file_name": "JUVENILES_DELINQUENCY_IPC_CASES.xls", 
 "title": "All India And State-wise Juveniles Delinquency Under IPC Cases ", 
 "url": "http://data.gov.in/sites/default/files/JUVENILES_DELINQUENCY_IPC_CASES.xls"
}
-----
"State/U.T","Year","   Murder","Culpable homicide not amounting to murder","    Rape","Kidnapping and abduction","  Dacoity","   Robbery","  Burglary","Theft"," Riots","Criminal breach of trust","Cheating","Counter feiting","Other IPC crimes","Total Cognizable Crimes"
"Bihar",2010.0,43.0,3.0,26.0,71.0,16.0,25.0,33.0,150.0,67.0,0.0,1.0,0.0,258.0,693.0
"Chhattisgarh",2010.0,50.0,0.0,70.0,14.0,2.0,34.0,282.0,334.0,130.0,3.0,4.0,4.0,1201.0,2128.0
"Goa",2010.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0,21.0,3.0,0.0,0.0,0.0,15.0,56.0
"Gujarat",2010.0,38.0,0.0,17.0,34.0,6.0,7.0,147.0,415.0,70.0,3.0,6.0,0.0,716.0,1459.0
"Haryana",2010.0,19.0,0.0,20.0,17.0,0.0,4.0,70.0,131.0,40.0,7.0,16.0,0.0,377.0,701.0
"Himachal Pradesh",2010.0,2.0,0.0,9.0,2.0,0.0,0.0,4.0,26.0,15.0,0.0,2.0,0.0,99.0,159.0
"Jammu & Kashmir",2010.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,10.0,17.0
"Jharkhand",2010.0,3.0,0.0,3.0,26.0,0.0,0.0,1.0,12.0,3.0,0.0,0.0,0.0,31.0,79.0
"Karnataka",2010.0,10.0,0.0,6.0,6.0,0.0,1.0,27.0,65.0,8.0,0.0,4.0,0.0,34.0,161.0
"Kerala",2010.0,4.0,2.0,10.0,3.0,2.0,10.0,58.0,136.0,84.0,0.0,4.0,0.0,147.0,460.0
"Madhya Pradesh",2010.0,113.0,3.0,183.0,49.0,3.0,80.0,332.0,475.0,135.0,1.0,21.0,0.0,4159.0,5554.0
"Maharashtra",2010.0,98.0,1.0,88.0,42.0,46.0,166.0,548.0,1152.0,352.0,4.0,20.0,3.0,1795.0,4315.0
"Manipur",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2010.0,1.0,0.0,13.0,0.0,1.0,1.0,13.0,27.0,0.0,1.0,0.0,0.0,25.0,82.0
"Mizoram",2010.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,49.0,0.0,0.0,0.0,0.0,6.0,63.0
"Nagaland",2010.0,1.0,0.0,1.0,4.0,2.0,8.0,7.0,19.0,0.0,1.0,0.0,1.0,2.0,46.0
"Orissa",2010.0,18.0,0.0,16.0,7.0,3.0,24.0,46.0,97.0,13.0,6.0,1.0,0.0,172.0,403.0
"Punjab",2010.0,12.0,0.0,10.0,3.0,1.0,3.0,10.0,39.0,0.0,0.0,9.0,1.0,89.0,177.0
"Rajasthan",2010.0,47.0,1.0,72.0,80.0,1.0,44.0,183.0,373.0,39.0,0.0,10.0,1.0,936.0,1787.0
"Sikkim",2010.0,0.0,0.0,4.0,0.0,0.0,2.0,25.0,24.0,1.0,0.0,0.0,0.0,10.0,66.0
"Tamil Nadu",2010.0,34.0,1.0,11.0,2.0,6.0,37.0,147.0,381.0,34.0,0.0,7.0,1.0,301.0,962.0
"Tripura",2010.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,9.0,26.0
"Uttar Pradesh",2010.0,70.0,16.0,83.0,45.0,2.0,15.0,30.0,141.0,8.0,0.0,8.0,0.0,160.0,578.0
"Uttarakhand",2010.0,0.0,0.0,1.0,5.0,0.0,2.0,17.0,39.0,1.0,0.0,0.0,0.0,43.0,108.0
"WestBengal",2010.0,12.0,3.0,44.0,33.0,0.0,4.0,10.0,47.0,2.0,0.0,2.0,0.0,83.0,240.0
"A. & N.Islands",2010.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,11.0,21.0
"Chandigarh",2010.0,4.0,1.0,7.0,0.0,2.0,9.0,16.0,27.0,7.0,0.0,2.0,0.0,38.0,113.0
"D. & N.Haveli",2010.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,16.0
"Daman and Diu",2010.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,8.0
