-----
{
 "description": "This table consists of product wise and year wise export of major petrochemicals products, both in quantity and value, during 2006-07 to 2011-12 in India.", 
 "file_name": "Export_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2011-12.xls", 
 "title": "Export of Major Petrochemicals - Product wise / Group wise from 2006-07 to 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/Export_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2011-12.xls"
}
-----
"GROUP","PRODUCT","2006-2007 QTY","2006-2007 VAL","2007-2008 QTY","2007-2008 VAL","2008-2009 QTY","2008-2009 VAL","2009-2010 QTY","2009-2010 VAL","2010-2011 QTY","2010-2011 VAL","2011-2012 QTY","2011-2012 VAL"
"OTHER PETRO-BASED CHEMICALS","PET",302030.0,172218.0,262502.0,141746.0,279168.0,153360.0,284200.0,152464.0,346071.0,220251.0,290894.0,229867.0
"OTHER PETRO-BASED CHEMICALS","UNSATURATED POLYSTER RESIN",5410.0,3720.0,12202.0,8665.0,14197.0,11367.0,9919.0,6653.0,9131.0,7849.0,9455.0,9479.0
"OTHER PETRO-BASED CHEMICALS","ETHYL BENZENE",55.0,58.0,297.0,369.0,551.0,725.0,16.0,24.0,0.0,0.0,3.0,1.0
"OTHER PETRO-BASED CHEMICALS","CELLULOSE ACETATE BUTYRATE",31.0,34.0,1.0,0.0,12.0,14.0,1.0,1.0,23.0,22.0,0.0,0.0
"OTHER PETRO-BASED CHEMICALS","CELLULOSE ACETATE SHEET",1769.0,1111.0,74.0,57.0,137.0,195.0,18.0,42.0,147.0,164.0,17.0,36.0
"OTHER PETRO-BASED CHEMICALS","CELLULOSE NITRATE SHEET",96.0,88.0,45.0,28.0,48.0,81.0,6.0,6.0,112.0,96.0,8.0,14.0
"OTHER PETRO-BASED CHEMICALS","MELAMINE MOULDING POWDER",1006.0,710.0,834.0,571.0,765.0,627.0,377.0,304.0,1079.0,743.0,1051.0,914.0
"OTHER PETRO-BASED CHEMICALS","POLYACETAL RESIN",66.0,58.0,162.0,127.0,311.0,376.0,527.0,517.0,1252.0,933.0,710.0,703.0
"OTHER PETRO-BASED CHEMICALS","PHTHALIC ANHYDRIDE",62649.0,33567.0,71272.0,37480.0,41744.0,20662.0,19581.0,9513.0,18480.0,10012.0,24993.0,17036.0
"OTHER PETRO-BASED CHEMICALS","STYRENE",210.0,197.0,2619.0,1505.0,4294.0,2914.0,801.0,520.0,1810.0,1207.0,7521.0,4847.0
"OTHER PETRO-BASED CHEMICALS","VINYL ACTATE MONOMER",537.0,404.0,3093.0,1813.0,332230.0,630.0,2413.0,977.0,1062.0,500.0,2227.0,1240.0
"OTHER PETRO-BASED CHEMICALS","ISOPROPANOL",24.0,28.0,1395.0,609.0,986.0,550.0,252.0,185.0,952.0,536.0,76.0,53.0
