-----
{
 "description": "List of Copyrights obtained by various entities for software developed under R&D funding of the Department of Electronics and Information Technology (DeitY), M/o C&IT, GoI", 
 "file_name": "Copyrights_for_Softwares.csv", 
 "title": "Copyrights for Softwares Developed under DeitY Funding ", 
 "url": "http://data.gov.in/sites/default/files/Copyrights_for_Softwares.csv"
}
-----
Organization,Name of Software,Copy Right Date,Diary number,
"CDAC, Pune",GIST – Synonym Builder,7/14/2010,7751/2010-cosw,
"CDAC, Pune",Synonym engine,7/14/2010,7752/2010-cosw,
"CDAC, Pune",GIST iPlugin Desktop,7/14/2010,7753/2010-cosw,
"CDAC, Pune",GIST – Syllable Validator for Brahmi based Scripts,7/14/2010,7754/2010-cosw,
IIIT hyd,Transliteration for Hindi to Urdu language from University of Hyderabad in SAMPARK system for ILMT project,9/21/2010,10398/2010-cosw,
IIIT hyd,Transliteration for Urdu to Hindi language from University of Hyderabad in SAMPARK system for ILMT project,9/21/2010,10399/2010-cosw,
CDAC Pune,ISM V6,9/21/2010,10332/2010-cosw,
CDAC Pune,GIST Heritage Slips Digitization Tool,9/21/2010,10333/2010-cosw,
CDAC Pune,GIST Indian Language Spell Checker Suite,9/21/2010,10334/2010-cosw,
CDAC Pune,GIST Machine Translation Evaluator,9/21/2010,10335/2010-cosw,
CDAC Pune,IDN Virtual Keyboard Suite,9/21/2010,10336/2010-cosw,
CDAC Pune,GIST Sendkey,9/21/2010,10337/2010-cosw,
CDAC Pune,GIST Sorting Utility,9/21/2010,10338/2010-cosw,
CDAC Pune,GIST Tarjumahkaar,9/21/2010,10339/2010-cosw,
CDAC Pune,GIST Tarseel,9/21/2010,10340/2010-cosw,
CDAC Pune,GIST UTrans,9/21/2010,10341/2010-cosw,
CDAC Pune,GIST Nashir,9/21/2010,10342/2010-cosw,
CDAC Pune,GIST Mac Punjabi Font Engine,9/21/2010,10352/2010-cosw,
CDAC Pune,GIST Frequency Based Dictionary Sorting Utility,9/21/2010,10353/2010-cosw,
CDAC Pune,GIST JavaScript Based Dynamic CSS Web Page,9/21/2010,10354/2010-cosw,
CDAC Pune,GIST Mac Devanagari Font Engine,9/21/2010,10355/2010-cosw,
CDAC Pune,GIST Mac Gujarathi Font Engine,9/21/2010,10356/2010-cosw,
CDAC Pune,GIST iSuggest,9/21/2010,10357/2010-cosw,
CDAC Pune,GIST ISCII to OL Chiki Converter,9/21/2010,10358/2010-cosw,
CDAC Pune,Handwritten Recognizer Accuracy Tester,9/21/2010,10343/2010-cosw,
CDAC Pune,Interface Validator for OHWR,9/21/2010,10344/2010-cosw,
CDAC Pune,Indic Annotation Tool for Online Handwritten Date,9/21/2010,10345/2010-cosw,
CDAC Pune,Indic Handwritten Word Segmentor,9/21/2010,10346/2010-cosw,
CDAC Pune,Go-Write Line Segmentor,9/21/2010,10347/2010-cosw,
CDAC Pune,Devanagari Line Detector for Online Handwritten Data,9/21/2010,10348/2010-cosw,
CDAC Pune,Go-Write Forms,9/21/2010,10349/2010-cosw,
CDAC Pune,Go-Write Dot Detection,9/21/2010,10350/2010-cosw,
CDAC Pune,OCR Accuracy Tester,9/21/2010,10351/2010-cosw,
"C-DAC, NOIDA",Punjabi Parts of Speech(POS) tagged corpus,11/11/2010,12190/2010-cosw,
"C-DAC, NOIDA",Punjabi Synset Dictionary,11/11/2010,12191/2010-cosw,
"C-DAC, NOIDA",Punjabi Chunk tagged Corpus,11/11/2010,12188/2010-cosw,
"C-DAC, NOIDA",Punjabi Word Generator Software,11/11/2010,12189/2010-cosw,
"C-DAC, NOIDA :-",Punjabi Stemmer Software,11/11/2010,12195/2010-cosw,
"C-DAC, NOIDA :-",Punjabi Spell Normalizer,11/11/2010,12198/2010-cosw,
"C-DAC, NOIDA :-",English-Hindi-Punjabi parallel Named Entity list,11/11/2010,12196/2010-cosw,
"C-DAC, NOIDA :-",Punjabi Parallel Corpus for Tourism Domain,11/11/2010,12197/2010-cosw,
"C-DAC, NOIDA :-",Font Transcoder Map files for Punjabi,11/11/2010,12194/2010-cosw,
"C-DAC, NOIDA :-",Punjabi Named Entity Tagged Corpus,11/11/2010,12193/2010-cosw,
"C-DAC, NOIDA :-",Punjabi Words and their Inflection database,11/11/2010,12192/2010-cosw,
DOEACC and DeitY,VTE Online Assessment System,11/11/2010,12183/2010-cosw,
DOEACC and DeitY,Graphical User Interface,11/11/2010,12184/2010-cosw,
DOEACC and DeitY,VTE Chat Module,11/11/2010,12185/2010-cosw,
DOEACC and DeitY,Virtual Machine Management and User Management,11/11/2010,12186/2010-cosw,
DOEACC and DeitY,A Java based Solution for accessing Virtual Machine remotely from a client behind Proxy/NAT/Firewall through SSH Tunneling,11/11/2010,12187/2010-cosw,
CDAC Pune,Gist indic typing tool,7/18/2011,8608/2011-cosw,
CDAC Pune,Gist single ot typing tool with IME,7/18/2011,8609/2011-cosw,
CDAC Pune,Gist windows localization tool,7/18/2011,8610/2011-cosw,
CDAC Pune,Gist IMF,7/18/2011,8611/2011-cosw,
CDAC Pune,Gist IND toolbar,7/18/2011,8612/2011-cosw,
CDAC Pune,TYFany Take your files Anywhere,"18-10-2011
",12215/2011-cosw,
CDAC Pune,VARADA: Programming environment for RCS ,"18-10-2011
",12216/2011-cosw,
CDAC Pune,A software package titled TaxoGrid (Molecular Phylogeny of Grid),"18-10-2011
",12217/2011-cosw,
CDAC Pune,CCHPCP (C-DAC Certified HPC Professional Certification Program),"18-10-2011
",12218/2011-col,
Dayalbagh Education Institute and DeitY,Trademark Database Validation and Update Tool (TDVUT),2/1/2011,1016/11-cosw,
Dayalbagh Education Institute and DeitY,Trademark Database Entry Tool (TDET),2/1/2011,1017/11-cosw,
Dayalbagh Education Institute and DeitY,Trademark e-Verification Tool,2/1/2011,1018/11-cosw,
"DeitY, and ISI Kolkata",A database of samples titled  Bangla online handwritten words,2/1/2011,1019/11-cosw,
"DeitY, and ISI Kolkata",A Software package titled  Bangla OHWR engine,2/1/2011,1020/11-cosw,
IIIT Hyderabad & DeitY,Telugu to English Dictionary,4/29/2011,5622/2011-cosw,
IIIT Hyderabad & DeitY,Query Translation for Telugu and Hind,4/29/2011,5623/2011-cosw,
IIIT Hyderabad & DeitY,Telugu to English Named Entity Transliteration List,4/29/2011,5624/2011-cosw,
IIIT Hyderabad & DeitY,Font Trans coder for Indian Languages,4/29/2011,5625/2011-cosw,
IIIT Hyderabad & DeitY,Language Analyzer for Telugu Java,4/29/2011,5626/2011-cosw,
IIIT Hyderabad & DeitY,Named Entity Annotated Corpora for Telugu,4/29/2011,5627/2011-cosw,
IIIT Hyderabad & DeitY,"Query Transliteration for Telugu, Tamil, Punjabi, Marathi, Bengali Hindi and English",4/29/2011,5628/2011-cosw,
IIIT Hyderabad & DeitY,Languages Identifier for Indian Languages and English,4/29/2011,5629/2011-cosw,
IIIT Hyderabad & DeitY,Focused Crawler for Tourism Domain,4/29/2011,5630/2011-cosw,
IIIT Hyderabad & DeitY,Telugu corpora for information Extraction Module,4/29/2011,5631/2011-cosw,
IIT Kharagpur & DeitY,Bengali Morphological Generators Rules and Resources,4/29/2011,5567/2011-cosw,
IIT Kharagpur & DeitY,Bengali NER,4/29/2011,5568/2011-cosw,
IIT Kharagpur & DeitY,Bengali- Hindi Transfer Grammar Rules,4/29/2011,5569/2011-cosw,
IIT Kharagpur & DeitY,Bengali Chunker,4/29/2011,5570/2011-cosw,
IIT Kharagpur & DeitY,Bengali Sense Annotated Corpus,4/29/2011,5571/2011-cosw,
IIT Kharagpur & DeitY,POS and Chunk Annotated Corpus,4/29/2011,5572/2011-cosw,
IIT Kharagpur & DeitY,Morphological Generator,4/29/2011,5573/2011-cosw,
IIT Kharagpur & DeitY,Bengali Morphological Analyzer Rules & Resources,4/29/2011,5574/2011-cosw,
IIT Kharagpur & DeitY,Bengali POS Tagger,4/29/2011,5575/2011-cosw,
"Jadavpur University Kolkata, IIT Kharagpur & DeitY",Gold standard Data Development for Evaluations,4/29/2011,5576/2011-cosw,
"Jadavpur University Kolkata, IIT Kharagpur & DeitY",Bengali Corpora Annotation,4/29/2011,5577/2011-cosw,
"Jadavpur University Kolkata, IIT Kharagpur & DeitY",Bengali Tourism Domain Corpora Collection,4/29/2011,5578/2011-cosw,
"Jadavpur University Kolkata, IIT Kharagpur & DeitY",Bengali Synset Dictionaries for Hindi - Bengali,4/29/2011,5579/2011-cosw,
"Jadavpur University Kolkata, IIT Kharagpur & DeitY",Synset Dictionaries for Bengali,4/29/2011,5580/2011-cosw,
CDAC Pune & DeitY,English-Hindi Tourism Domain Parallel Corpus,4/29/2011,5581/2011-cosw,
CDAC Pune & DeitY,English Corpus Collection for Tourism Domain,4/29/2011,5582/2011-cosw,
CDAC Pune & DeitY,English-Urdu Tourism Domain Parallel Corpus,4/29/2011,5583/2011-cosw,
CDAC Pune & DeitY,English to Bangla Morph Synthesizer for Tourism Domain,4/29/2011,5584/2011-cosw,
CDAC Pune & DeitY,English Hindi Tourism Domain Lexicon,4/29/2011,5585/2011-cosw,
CDAC Pune & DeitY,English Tamil tourism Domain Parallel Corpus,4/29/2011,5586/2011-cosw,
CDAC Pune & DeitY,English Tamil Tourism Domain Lexicon,4/29/2011,5587/2011-cosw,
CDAC Pune & DeitY,English Bangla Transliteration Tool,4/29/2011,5588/2011-cosw,
CDAC Pune & DeitY,English Urdu Morph Synthesizer for Tourism Domain,4/29/2011,5589/2011-cosw,
CDAC Pune & DeitY,English Oriya tourism Domain Parallel Corpus,4/29/2011,5590/2011-cosw,
CDAC Pune & DeitY,English Marathi Tourism Domain Lexicon,4/29/2011,5591/2011-cosw,
CDAC Pune & DeitY,English Bangla Tourism Domain Lexicon,4/29/2011,5592/2011-cosw,
CDAC Pune & DeitY,English Bangla tourism Domain Parallel Corpus,4/29/2011,5593/2011-cosw,
CDAC Pune & DeitY,English Tamil Morph Synthesizer for Tourism Domain,4/29/2011,5594/2011-cosw,
CDAC Pune & DeitY,Tamil Transliteration Tool,4/29/2011,5595/2011-cosw,
CDAC Pune & DeitY,English Oriya Tourism Domain Lexicon,4/29/2011,5596/2011-cosw,
CDAC Pune & DeitY,Evaluation System for EILMT Output,4/29/2011,5597/2011-cosw,
,,,,
CDAC Pune & DeitY,Tamil Typing tool for Tourism Domains,4/29/2011,5598/2011-cosw,
CDAC Pune & DeitY,Linguistic Resource Management Tool (LRMT),4/29/2011,5599/2011-cosw,
CDAC Pune & DeitY,English Lexicon Creation From Tourism Domain,4/29/2011,5600/2011-cosw,
CDAC Pune & DeitY,Typing Tool for Bangla,4/29/2011,5601/2011-cosw,
CDAC Pune & DeitY,English Urdu Tourism Domain Lexicon,4/29/2011,5602/2011-cosw,
Anna University &DeitY,Tamil Guess Morph,4/29/2011,5603/2011-cosw,
Anna University &DeitY,Tamil Chunk Tagged Corpus,4/29/2011,5604/2011-cosw,
Anna University &DeitY,Hindi Tamil Transfer Grammar,4/29/2011,5605/2011-cosw,
Anna University &DeitY,Tamil Hindi Bilingual Dictionary,4/29/2011,5606/2011-cosw,
Anna University &DeitY,Tamil Simple Parser,4/29/2011,5607/2011-cosw,
Anna University &DeitY,Tamil NER Engine,4/29/2011,5608/2011-cosw,
Anna University &DeitY,Tamil Word Generator,4/29/2011,5609/2011-cosw,
Anna University &DeitY,Tamil Raw Corpus,4/29/2011,5610/2011-cosw,
Anna University &DeitY,Tamil MWE Tagging Engine,4/29/2011,5611/2011-cosw,
Anna University &DeitY,Tamil Morphological Analyser,4/29/2011,5612/2011-cosw,
Anna University &DeitY,Tamil Hindi Transfer Grammar,4/29/2011,5613/2011-cosw,
Anna University &DeitY,Tamil Hindi Synset,4/29/2011,5614/2011-cosw,
Anna University &DeitY,Tamil Hindi Transliteration Engine,4/29/2011,5615/2011-cosw,
Anna University &DeitY,Hindi Tamil Manually Translated Sentences,4/29/2011,5616/2011-cosw,
Anna University &DeitY,Tamil POS Tagged Corpus,4/29/2011,5617/2011-cosw,
Anna University &DeitY,Tamil Hindi Manually Translated Sentences,4/29/2011,5618/2011-cosw,
Anna University &DeitY,Hindi Word Generator,4/29/2011,5619/2011-cosw,
Anna University &DeitY,Hindi Tamil Bilingual Dictionary,4/29/2011,5620/2011-cosw,
Anna University &DeitY,NER Generic Engine,4/29/2011,5621/2011-cosw,
CDAC Pune,Gist Indic typing tool,7/18/2011,8608/2011-cosw,
CDAC Pune,Gist single OT typing tool with IME,7/18/2011,8609/2011-cosw,
CDAC Pune,Gist windows localization tool,7/18/2011,8610/2011-cosw,
CDAC Pune,Gist IMF,7/18/2011,8611/2011-cosw,
CDAC Pune,Gist IDN toolbar,7/18/2011,8612/2011-cosw,
CDAC Pune & DeitY,TYFany Take your files Anywhere,11/18/2011,12215/2011-cosw,
CDAC Pune & DeitY,VARADA: Programming environment for RCS,11/18/2011,12216/2011-cosw,
CDAC Pune & DeitY,A software package titled TaxoGrid (Molecular Phylogeny of Grid),11/18/2011,12217/2011-cosw,
CDAC Pune & DeitY,CCHPCP (C-DAC Certified HPC Professional Certification Program),11/18/2011,12218/2011-cosw,
IIT KGP,OpAmpDESIGN,5/4/2012,5701/2012-cosw,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
