-----
{
 "description": "This data provides state-wise number of minority concentrated districts and minority concentrated blocks all over India as on 31st March 2013.", 
 "file_name": "STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls", 
 "title": "State-wise Number of Minority Concentrated Districts And Minority Concentrated Blocks As On 31st March 2013 ", 
 "url": "http://data.gov.in/sites/default/files/STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls"
}
-----
"S.No.","State Name","District Name","Block Name"
358.0,"JHARKHAND","HAZARIBAG","KATKAMSANDI"
359.0,"JHARKHAND","LOHARDAGA","KURU"
360.0,"JHARKHAND","PAKUR","HIRANPUR"
361.0,"JHARKHAND","PAKUR","LITTIPARA"
362.0,"JHARKHAND","PAKUR","MAHESHPUR"
363.0,"JHARKHAND","PAKUR","PAKUR"
364.0,"JHARKHAND","RANCHI","BERO"
365.0,"JHARKHAND","RANCHI","CHANHO"
366.0,"JHARKHAND","RANCHI","KANKE"
367.0,"JHARKHAND","RANCHI","MANDAR"
368.0,"JHARKHAND","SAHIBGANJ","BARHAIT"
369.0,"JHARKHAND","SAHIBGANJ","BARHARWA"
370.0,"JHARKHAND","SAHIBGANJ","MANDRO"
371.0,"JHARKHAND","SAHIBGANJ","PATHNA"
372.0,"JHARKHAND","SAHIBGANJ","RAJMAHAL"
373.0,"JHARKHAND","SAHIBGANJ","SAHIBGANJ"
374.0,"JHARKHAND","SAHIBGANJ","UDHUA"
375.0,"KARNATAKA","BIDAR","BIDAR"
376.0,"KARNATAKA","BIDAR","HUMNABAD"
377.0,"KARNATAKA","DAKSHIN KANNAD","BANTWAL"
378.0,"KARNATAKA","DAKSHIN KANNAD","BELTANGADI"
379.0,"KARNATAKA","DAKSHIN KANNAD","MANGALORE"
380.0,"KARNATAKA","DAKSHIN KANNAD","PUTTUR"
381.0,"KARNATAKA","GULBARGA","CHITTAPUR"
382.0,"KARNATAKA","UTTAR KANNADA","MUNDGOD"
383.0,"KERALA","ALAPPUZHA","AMBALAPUZHA"
384.0,"KERALA","ALAPPUZHA","ARYAD"
385.0,"KERALA","ALAPPUZHA","BARANIKKAVU"
386.0,"KERALA","ALAPPUZHA","CHAMBAKKULAM"
387.0,"KERALA","ALAPPUZHA","CHENGANNOOR"
388.0,"KERALA","ALAPPUZHA","PATTANAKKADU"
389.0,"KERALA","ALAPPUZHA","VELIYANAD"
390.0,"KERALA","ERNAKULAM","ALANGAD"
391.0,"KERALA","ERNAKULAM","ANGAMALY"
392.0,"KERALA","ERNAKULAM","EDAPPALLY"
393.0,"KERALA","ERNAKULAM","KOOVAPPADY"
394.0,"KERALA","ERNAKULAM","KOTHAMANGALAM"
395.0,"KERALA","ERNAKULAM","MULANTHURUTHY"
396.0,"KERALA","ERNAKULAM","MUVATTUPUZHA"
397.0,"KERALA","ERNAKULAM","PALLURUTHY"
398.0,"KERALA","ERNAKULAM","PAMPAKUDA"
399.0,"KERALA","ERNAKULAM","PARAKKADAVU"
400.0,"KERALA","ERNAKULAM","PARAVOOR"
401.0,"KERALA","ERNAKULAM","VADAVUKODE"
402.0,"KERALA","ERNAKULAM","VAZHAKKULAM"
403.0,"KERALA","ERNAKULAM","VYPIN"
404.0,"KERALA","ERNAKULAM","VYTTALA"
405.0,"KERALA","IDUKKI","ADIMALI"
406.0,"KERALA","IDUKKI","AZHUTHA"
407.0,"KERALA","IDUKKI","ELAMDESAM"
408.0,"KERALA","IDUKKI","IDUKKI"
409.0,"KERALA","IDUKKI","KATTAPPANA"
410.0,"KERALA","IDUKKI","NEDUMKANDOM"
411.0,"KERALA","IDUKKI","THODUPUZHA"
412.0,"KERALA","KANNUR","IRIKKUR"
413.0,"KERALA","KANNUR","IRITTY"
414.0,"KERALA","KANNUR","KOOTHUPARAMBU"
415.0,"KERALA","KANNUR","PAYYANNUR"
416.0,"KERALA","KANNUR","PERAVOOR"
417.0,"KERALA","KANNUR","THALASSERY"
418.0,"KERALA","KANNUR","THALIPARAMBU"
419.0,"KERALA","KASARAGOD","KANHANGAD"
420.0,"KERALA","KASARAGOD","KASARAGOD"
421.0,"KERALA","KASARAGOD","MANJESWARAM"
422.0,"KERALA","KASARAGOD","NEELESWARAM"
423.0,"KERALA","KOLLAM","ANCHAL"
424.0,"KERALA","KOLLAM","ANCHALUMMOODU"
425.0,"KERALA","KOLLAM","CHADAYAMANGALAM"
426.0,"KERALA","KOLLAM","CHAVARA"
427.0,"KERALA","KOLLAM","CHITTUMALA"
428.0,"KERALA","KOLLAM","KARUNAGAPPALLY"
429.0,"KERALA","KOLLAM","KOTTARAKKARA"
430.0,"KERALA","KOLLAM","MUGHATHALA"
