States/Union Territory,   Name of the District,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital
Uttar Pradesh*(#),Kanpur (Nagar),391,44,6,0,NA
Uttar Pradesh*(#),Kashi Ram Nagar,167,47,4,0,NA
Uttar Pradesh*(#),Kaushambi,170,39,3,0,NA
Uttar Pradesh*(#),Khiri,387,71,11,0,NA
Uttar Pradesh*(#),Kushinagar,339,63,9,0,NA
Uttar Pradesh*(#),Lalitpur,191,29,4,0,NA
Uttar Pradesh*(#),Lucknow,336,37,11,0,NA
Uttar Pradesh*(#),Maharanganj,278,54,8,0,NA
Uttar Pradesh*(#),Mahoba,150,21,3,0,NA
Uttar Pradesh*(#),Mainpuri,203,51,6,0,NA
Uttar Pradesh*(#),Mathura,261,44,8,0,NA
Uttar Pradesh*(#),Mau,225,48,5,0,NA
Uttar Pradesh*(#),Meerut,358,43,4,0,NA
Uttar Pradesh*(#),Mirzapur,265,48,7,0,NA
Uttar Pradesh*(#),Moradabad,416,57,8,0,NA
Uttar Pradesh*(#),Muzzafarnagar,417,74,10,0,NA
Uttar Pradesh*(#),Pilibhit,195,34,6,0,NA
Uttar Pradesh*(#),Pratapgarh,360,71,17,0,NA
Uttar Pradesh*(#),Raibareilly,377,71,10,0,NA
Uttar Pradesh*(#),Rampur,211,36,5,0,NA
Uttar Pradesh*(#),Saharanpur,338,55,11,0,NA
Uttar Pradesh*(#),Sant Ravidas Nagar (Bhadohi),155,28,3,0,NA
Uttar Pradesh*(#),Santkabirnagar,182,30,4,0,NA
Uttar Pradesh*(#),Shahjahanpur,310,54,12,0,NA
Uttar Pradesh*(#),Shrawasti,167,25,4,0,NA
Uttar Pradesh*(#),Siddharthanagar,274,79,7,0,NA
Uttar Pradesh*(#),Sitapur,448,85,9,0,NA
Uttar Pradesh*(#),Sonbhadra,165,33,5,0,NA
Uttar Pradesh*(#),Sultanpur,403,77,14,0,NA
Uttar Pradesh*(#),Unnao,348,56,8,0,NA
Uttar Pradesh*(#),Varanasi,312,43,7,0,NA
Uttar Pradesh*(#),CSM Nagar,,,,,
Uttarakhand,Almora,195,28,4,2,2
Uttarakhand,Bageshwar,77,11,2,0,1
Uttarakhand,Chamoli,104,13,5,0,1
Uttarakhand,Champawat,66,6,2,1,0
Uttarakhand,Dehradun,167,19,7,4,2
Uttarakhand,Pauri Garhwal,218,22,5,3,2
Uttarakhand,Haridwar,159,28,6,2,2
Uttarakhand,Nainital,136,19,4,6,2
Uttarakhand,Pithoragarh,154,18,4,0,2
Uttarakhand,Rudraprayag,65,11,2,0,1
Uttarakhand,Tehri Garhwal,190,26,5,1,1
Uttarakhand,Udhamsingh Nagar,153,27,6,1,1
Uttarakhand,Uttarkashi,81,11,3,0,1
West Bengal,Bankura ,564,69,22,NA,NA
West Bengal,Barddhaman ,765,104,35,NA,NA
West Bengal,Birbhum,484,58,19,NA,NA
West Bengal,Dakshin Dinajpur,247,18,8,NA,NA
West Bengal,Darjiling ,230,22,12,NA,NA
West Bengal,Haora ,448,41,15,NA,NA
West Bengal,Hugli ,660,59,18,NA,NA
West Bengal,Jalpaiguri ,537,38,14,NA,NA
West Bengal,Koch Bihar ,406,29,12,NA,NA
West Bengal,Maldah ,511,35,15,NA,NA
West Bengal,Medinipur(W),858,84,29,NA,NA
West Bengal,Medinipur(E),706,53,25,NA,NA
West Bengal,Murshidabad ,832,69,27,NA,NA
West Bengal,Nadia ,469,47,17,NA,NA
West Bengal,North Twenty Four Parganas,742,52,22,NA,NA
West Bengal,Puruliya,485,52,20,NA,NA
West Bengal,South  Twenty Four Parganas,1068,61,30,NA,NA
West Bengal,Uttar Dinajpur,344,18,8,NA,NA
